Employee_ID,Name,Deparntment,Age,Salary,City
101,Arun,HR,25,30000,Erode
102,Priya,IT,28,45000,Coimbatore
103,Karthik,Finance,30,50000,Salem
104,Divya,IT,27,42000,Chennai
105,Ravi,Marketing,29,38000,Madurai
106,Sneha,HR,,35000,Erode
107,Vijay,IT,31,,Coimbatore
108,Anitha,Finance,26,47000,
109,Kumar,Marketing,32,41000,Salem
110,Meena,IT,24,39000,Chennai
111,Arun,HR,25,30000,Erode
112,Priya,IT,28,45000,Coimbatore
113,Karthik,Finance,30,50000,Salem
114,Divya,,27,42000,Chennai
115,Ravi,Marketing,29,,Madurai
116,Sneha,HR,26,35000,Erode
117,Vijay,IT,31,55000,
118,Anitha,Finance,,47000,Trichy
119,Kumar,Marketing,32,41000,Salem
120,Meena,IT,24,39000,Chennai
121,Arun,HR,25,30000,Erode
122,Priya,IT,28,45000,Coimbatore
123,Karthik,Finance,30,50000,Salem
124,Divya,IT,27,42000,Chennai
125,Ravi,Marketing,29,38000,Madurai
126,Sneha,HR,26,35000,Erode
127,Vijay,IT,31,55000,Coimbatore
128,Anitha,Finance,26,47000,Trichy
129,Kumar,Marketing,,41000,Salem
130,Meena,IT,24,39000,
